"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"120",18.9,19.4,14.8,15.8,4265600,15.8,2016-03-18,"CRC",-0.112359500694354,-0.112359500694354
"121",15.8,16.6,14.7,14.8,1107300,14.8,2016-03-21,"CRC",-0.0632911392405063,-0.0632911392405063
"122",14.4,14.9,13.6,14.4,1044100,14.4,2016-03-22,"CRC",-0.0270270270270271,-0.0270270270270271
"123",14.1,14.3,12.8,13,1287700,13,2016-03-23,"CRC",-0.0972222222222222,-0.0972222222222222
"124",11.8,12.9,11,12.4,1907900,12.4,2016-03-24,"CRC",-0.0461538461538461,-0.0461538461538461
"125",13,13.1,11,11.7,1379800,11.7,2016-03-28,"CRC",-0.0564516129032259,-0.0564516129032259
"126",10.7,10.9,8.9,10.5,3580100,10.5,2016-03-29,"CRC",-0.102564102564103,-0.102564102564103
"127",11,12.1,9.5,10.5,2802000,10.5,2016-03-30,"CRC",0,0
"128",9.8,11,9.7,10.3,1550300,10.3,2016-03-31,"CRC",-0.019047619047619,-0.019047619047619
"129",10,10.4,9.2,10.4,1833800,10.4,2016-04-01,"CRC",0.00970873786407767,0.00970873786407767
"130",9.61,12.2,9.61,11.6,2271100,11.6,2016-04-04,"CRC",0.115384615384615,0.115384615384615
"131",10.7,12.15,10.4,10.5,2811600,10.5,2016-04-05,"CRC",-0.0948275862068966,-0.0948275862068966
"132",11.1,12.1,10.7,11.7,1683700,11.7,2016-04-06,"CRC",0.114285714285714,0.114285714285714
"133",11,11.6,11,11.3,1307300,11.3,2016-04-07,"CRC",-0.0341880341880341,-0.0341880341880341
"134",12.2,13.7,12,13,2025200,13,2016-04-08,"CRC",0.150442477876106,0.150442477876106
"135",13.4,14,12.8,12.8,1291900,12.8,2016-04-11,"CRC",-0.0153846153846153,-0.0153846153846153
"136",13.3,15.6,13,14.6,2731800,14.6,2016-04-12,"CRC",0.140625,0.140625
"137",14.4,16.6,14.4,15.6,1814800,15.6,2016-04-13,"CRC",0.0684931506849316,0.0684931506849316
"138",16.1,16.5,14.1,15.1,1103200,15.1,2016-04-14,"CRC",-0.032051282051282,-0.032051282051282
"139",14.2,15.2,14,15,1158600,15,2016-04-15,"CRC",-0.00662251655629131,-0.00662251655629131
"140",13.6,15.9,13.1,15.6,1322300,15.6,2016-04-18,"CRC",0.04,0.04
"141",16,18.5,15.8,17.4,1609200,17.4,2016-04-19,"CRC",0.115384615384615,0.115384615384615
"142",17,19.9,16.6,19.1,1513900,19.1,2016-04-20,"CRC",0.0977011494252875,0.0977011494252875
"143",19.9,20.9,19.299999,20.1,1800300,20.1,2016-04-21,"CRC",0.0523560209424083,0.0523560209424083
"144",20.200001,22.799999,20.1,22.799999,1601300,22.799999,2016-04-22,"CRC",0.134328308457711,0.134328308457711
"145",22.799999,25.5,21.299999,21.6,2376900,21.6,2016-04-25,"CRC",-0.05263153739612,-0.05263153739612
"146",22.799999,22.9,20.75,21.799999,1320000,21.799999,2016-04-26,"CRC",0.00925921296296295,0.00925921296296295
"147",23.1,25.1,22.450001,24.1,2363400,24.1,2016-04-27,"CRC",0.105504637867185,0.105504637867185
"148",24.6,25.299999,21.4,22.200001,2298800,22.200001,2016-04-28,"CRC",-0.078838132780083,-0.078838132780083
"149",23.9,24.5,20.4,22,2087800,22,2016-04-29,"CRC",-0.00900905364824089,-0.00900905364824089
"150",21.9,21.9,18.299999,20.299999,1585400,20.299999,2016-05-02,"CRC",-0.0772727727272727,-0.0772727727272727
"151",19.1,20,18.799999,19.299999,936700,19.299999,2016-05-03,"CRC",-0.0492610861704968,-0.0492610861704968
"152",19.799999,20.4,17.6,18.5,1685000,18.5,2016-05-04,"CRC",-0.0414507275363071,-0.0414507275363071
"153",20.1,20.120001,18.5,18.9,1379200,18.9,2016-05-05,"CRC",0.0216216216216216,0.0216216216216216
"154",17.6,19.1,17,17.299999,1438000,17.299999,2016-05-06,"CRC",-0.0846561375661375,-0.0846561375661375
"155",17.700001,18.1,14.8,16.299999,1789700,16.299999,2016-05-09,"CRC",-0.0578034715493336,-0.0578034715493336
"156",17,17.700001,16.4,16.799999,838700,16.799999,2016-05-10,"CRC",0.0306748485076593,0.0306748485076593
"157",16.5,17.299999,15.2,16.4,1971300,16.4,2016-05-11,"CRC",-0.0238094657029444,-0.0238094657029444
"158",17.299999,17.700001,15.2,15.4,1694400,15.4,2016-05-12,"CRC",-0.0609756097560975,-0.0609756097560975
"159",15.3,15.9,14.2,15.2,1013400,15.2,2016-05-13,"CRC",-0.0129870129870131,-0.0129870129870131
"160",15.9,17.1,15.5,15.7,1376300,15.7,2016-05-16,"CRC",0.0328947368421053,0.0328947368421053
"161",15.8,16.9,15.4,16.6,976600,16.6,2016-05-17,"CRC",0.0573248407643314,0.0573248407643314
"162",16.299999,16.9,15.7,15.9,443100,15.9,2016-05-18,"CRC",-0.0421686746987953,-0.0421686746987953
"163",15.5,16,14.1,15,812600,15,2016-05-19,"CRC",-0.0566037735849056,-0.0566037735849056
"164",15.2,16.15,15,15.7,648800,15.7,2016-05-20,"CRC",0.0466666666666666,0.0466666666666666
"165",15.1,16.5,15.1,15.9,639200,15.9,2016-05-23,"CRC",0.0127388535031847,0.0127388535031847
"166",16.299999,16.5,15.5,15.6,699900,15.6,2016-05-24,"CRC",-0.0188679245283019,-0.0188679245283019
"167",16.299999,18.200001,16.1,18.1,1391800,18.1,2016-05-25,"CRC",0.16025641025641,0.16025641025641
"168",19.1,19.200001,16.6,16.799999,1756500,16.799999,2016-05-26,"CRC",-0.0718232596685083,-0.0718232596685083
"169",16.5,16.700001,15.1,15.4,1420900,15.4,2016-05-27,"CRC",-0.083333278769838,-0.083333278769838
"170",15.9,16.1,15,15.2,1569900,15.2,2016-05-31,"CRC",-0.0129870129870131,-0.0129870129870131
"171",14.7,15.92,13.5,15.58,3224600,15.58,2016-06-01,"CRC",0.0250000000000001,0.0250000000000001
"172",15.13,16.209999,14.71,15.82,2477500,15.82,2016-06-02,"CRC",0.0154043645699615,0.0154043645699615
"173",15.52,16.540001,14.67,14.82,2880800,14.82,2016-06-03,"CRC",-0.0632111251580278,-0.0632111251580278
"174",15.27,16.139999,14.73,15.9,2329400,15.9,2016-06-06,"CRC",0.0728744939271255,0.0728744939271255
"175",16.17,19.610001,16.132,19.02,3848400,19.02,2016-06-07,"CRC",0.19622641509434,0.19622641509434
"176",19.76,19.870001,18.450001,18.889999,3226100,18.889999,2016-06-08,"CRC",-0.00683496319663512,-0.00683496319663512
"177",17.85,18.41,17.07,17.48,2126700,17.48,2016-06-09,"CRC",-0.0746426190917214,-0.0746426190917214
"178",16.93,16.93,13.9,14.12,4589500,14.12,2016-06-10,"CRC",-0.192219679633867,-0.192219679633867
"179",14.05,14.94,13.12,13.61,3703300,13.61,2016-06-13,"CRC",-0.0361189801699716,-0.0361189801699716
"180",13.64,14.11,12.418,13.35,2181400,13.35,2016-06-14,"CRC",-0.0191036002939016,-0.0191036002939016
"181",13.2,14.28,12.43,13.77,2154900,13.77,2016-06-15,"CRC",0.0314606741573034,0.0314606741573034
"182",13.32,13.499,12.01,12.23,4466800,12.23,2016-06-16,"CRC",-0.111837327523602,-0.111837327523602
"183",12.84,13.95,12.61,13.17,5962900,13.17,2016-06-17,"CRC",0.0768601798855273,0.0768601798855273
"184",14.06,15.44,13.33,15.28,3710200,15.28,2016-06-20,"CRC",0.160212604403948,0.160212604403948
"185",15.07,15.4,14.05,15.27,3148100,15.27,2016-06-21,"CRC",-0.000654450261780126,-0.000654450261780126
"186",15.34,15.429,14.08,14.25,3553100,14.25,2016-06-22,"CRC",-0.0667976424361493,-0.0667976424361493
"187",14.75,14.98,14.2,14.52,2759900,14.52,2016-06-23,"CRC",0.0189473684210526,0.0189473684210526
"188",12.76,14.06,12.75,13.79,5933500,13.79,2016-06-24,"CRC",-0.0502754820936639,-0.0502754820936639
"189",13.14,13.71,10.8,11,5534700,11,2016-06-27,"CRC",-0.202320522117476,-0.202320522117476
"190",11.88,12.3,11.51,12.06,3050700,12.06,2016-06-28,"CRC",0.0963636363636364,0.0963636363636364
"191",12.42,13.565,11.91,13.3,2589700,13.3,2016-06-29,"CRC",0.102819237147595,0.102819237147595
"192",12.92,13.04,11.95,12.2,3728000,12.2,2016-06-30,"CRC",-0.0827067669172933,-0.0827067669172933
"193",11.91,13.25,11.89,13.05,2186600,13.05,2016-07-01,"CRC",0.069672131147541,0.069672131147541
"194",12.28,12.4,11.05,11.64,4039000,11.64,2016-07-05,"CRC",-0.108045977011494,-0.108045977011494
"195",11.4,12.29,11.4,12.14,2284900,12.14,2016-07-06,"CRC",0.0429553264604812,0.0429553264604812
"196",12.44,12.78,11.29,11.31,2451000,11.31,2016-07-07,"CRC",-0.0683690280065898,-0.0683690280065898
"197",11.81,12.5,11.25,12.34,4281400,12.34,2016-07-08,"CRC",0.0910698496905393,0.0910698496905393
"198",12.38,13.15,12.2,12.84,4048200,12.84,2016-07-11,"CRC",0.0405186385737439,0.0405186385737439
"199",13.37,15.18,13.18,14.8,4121700,14.8,2016-07-12,"CRC",0.152647975077882,0.152647975077882
"200",14.5,14.88,13.615,14.58,2492700,14.58,2016-07-13,"CRC",-0.0148648648648649,-0.0148648648648649
"201",15.09,15.17,13.87,13.95,2134800,13.95,2016-07-14,"CRC",-0.04320987654321,-0.04320987654321
"202",14.14,14.47,13.1,13.25,2687400,13.25,2016-07-15,"CRC",-0.050179211469534,-0.050179211469534
"203",12.99,13.885,12.8,13.65,2921600,13.65,2016-07-18,"CRC",0.030188679245283,0.030188679245283
"204",13.49,13.69,13.04,13.16,1208400,13.16,2016-07-19,"CRC",-0.0358974358974359,-0.0358974358974359
"205",12.78,13.98,12.72,13.33,3834200,13.33,2016-07-20,"CRC",0.012917933130699,0.012917933130699
"206",13.33,13.86,12.02,12.19,2742100,12.19,2016-07-21,"CRC",-0.0855213803450863,-0.0855213803450863
"207",12.26,12.37,11.46,11.53,3104000,11.53,2016-07-22,"CRC",-0.0541427399507793,-0.0541427399507793
"208",11.2,11.4,10.39,10.7,3589100,10.7,2016-07-25,"CRC",-0.0719861231569818,-0.0719861231569818
"209",10.55,10.92,10.14,10.89,2815200,10.89,2016-07-26,"CRC",0.0177570093457946,0.0177570093457946
"210",10.89,11.28,10,10.12,2767800,10.12,2016-07-27,"CRC",-0.0707070707070708,-0.0707070707070708
"211",10.23,10.39,9.56,9.94,2964700,9.94,2016-07-28,"CRC",-0.0177865612648221,-0.0177865612648221
