,price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,5 Day Percent Change,Direction
69,54.91,55.130001,54.700001,54.84,311600,51.904842,12/27/2017,NFG,-0.000182243,-0.000182279,0.02%,E
70,54.349998,54.970001,54.25,54.91,378900,52.367386,12/28/2017,NFG,0.008911384,0.001276441,0.23%,E
71,55,55.25,54.779999,54.91,354100,52.367386,12/29/2017,NFG,0,0,0.20%,E
72,57.349998,57.549999,56.299999,56.509998,682200,53.893291,1/2/2018,NFG,0.02913846,0.029138554,0.75%,U
73,56.650002,57.060001,56.209999,56.349998,435200,53.740704,1/3/2018,NFG,-0.00283128,-0.002831357,0.69%,U
74,56.59,56.889999,56.27,56.509998,637500,53.893291,1/4/2018,NFG,0.002839319,0.002839397,0.57%,U
75,56.75,56.75,55.900002,56.080002,362500,53.483208,1/5/2018,NFG,-0.007609166,-0.007609202,0.42%,E
76,56.189999,56.669998,55.790001,56.529999,294700,53.912369,1/8/2018,NFG,0.008024219,0.008024197,0.01%,E
77,56.580002,56.669998,56.009998,56.240002,402400,53.635799,1/9/2018,NFG,-0.005129992,-0.005129966,-0.04%,E
78,56.139999,56.209999,54.82,54.84,387100,52.300625,1/10/2018,NFG,-0.024893337,-0.024893349,-0.60%,D
79,54.91,56.029999,54.849998,55.93,493600,53.340153,1/11/2018,NFG,0.019876015,0.019876003,-0.05%,E
80,55.799999,56.32,55.66,56.139999,370600,53.540428,1/12/2018,NFG,0.003754676,0.003754675,-0.14%,E
81,56.169998,56.43,55.700001,55.75,321600,53.168484,1/16/2018,NFG,-0.006946975,-0.006946901,-0.18%,E
82,56.099998,56.41,55.689999,56.16,355100,53.559505,1/17/2018,NFG,0.007354376,0.00735426,0.47%,E
83,56.220001,56.709999,55.240002,55.369999,526500,52.80608,1/18/2018,NFG,-0.014067064,-0.014066969,-0.20%,E
84,55.400002,55.84,55.240002,55.52,331300,52.949139,1/19/2018,NFG,0.002709139,0.002709066,-0.22%,E
85,55.450001,55.990002,55.450001,55.810001,309200,53.225716,1/22/2018,NFG,0.005223447,0.005223361,0.02%,E
86,55.919998,56.759998,55.790001,56.450001,272700,53.836071,1/23/2018,NFG,0.011467295,0.011467479,0.10%,E
87,56.639999,56.790001,56.380001,56.419998,315500,53.807461,1/24/2018,NFG,-0.000531428,-0.000531497,0.38%,E
88,56.5,56.810001,56.189999,56.720001,298600,54.093571,1/25/2018,NFG,0.005317292,0.005317317,0.43%,E
89,56.799999,56.799999,56.029999,56.77,226200,54.141254,1/26/2018,NFG,0.000881491,0.000881506,0.34%,E
90,56.52,56.84,56.330002,56.389999,339900,53.778851,1/29/2018,NFG,-0.006693657,-0.006693694,-0.02%,E
91,56.349998,56.43,55.549999,55.919998,402000,53.330612,1/30/2018,NFG,-0.008334856,-0.008334829,-0.18%,E
92,56.220001,56.599998,55.52,55.75,750700,53.168484,1/31/2018,NFG,-0.003040055,-0.003040022,-0.34%,E
93,55.830002,56.119999,54.919998,54.919998,454200,52.376923,2/1/2018,NFG,-0.014887786,-0.014887928,-0.66%,D
94,56.290001,56.41,49.799999,49.939999,1443200,47.627522,2/2/2018,NFG,-0.090677358,-0.090677334,-2.36%,D
95,50.439999,51.130001,49.400002,49.599998,1094500,47.303265,2/5/2018,NFG,-0.006808185,-0.00680819,-2.37%,D
96,49,50,48.310001,49.790001,805200,47.484463,2/6/2018,NFG,0.00383056,0.003830706,-2.29%,D
97,49.689999,50.360001,49,49.790001,696700,47.484463,2/7/2018,NFG,0,0,-2.02%,D
98,49.759998,50.25,49.25,49.560001,998400,47.265118,2/8/2018,NFG,-0.0046193,-0.004619401,-0.15%,E
99,49.810001,50.560001,48.580002,49.919998,575600,47.608444,2/9/2018,NFG,0.007263835,0.007263862,0.13%,E
100,49.57,50.18,48.639999,49.709999,1652600,47.408169,2/12/2018,NFG,-0.004206712,-0.004206711,-0.03%,E
101,49.68,50.080002,49.040001,49.400002,865000,47.112526,2/13/2018,NFG,-0.006236119,-0.00623611,-0.16%,E
102,49.150002,49.830002,48.889999,49.549999,786800,47.255581,2/14/2018,NFG,0.003036454,0.003036376,0.00%,E
103,49.599998,49.939999,49.23,49.810001,478200,47.503544,2/15/2018,NFG,0.005247274,0.005247265,-0.04%,E
104,49.689999,50.369999,49.639999,50.049999,908300,47.732426,2/16/2018,NFG,0.004818209,0.004818269,0.14%,E
105,50.02,50.23,49.060001,49.639999,638000,47.341408,2/20/2018,NFG,-0.008191874,-0.008191808,0.10%,E
106,49.549999,50.240002,49.419998,49.43,483900,47.141136,2/21/2018,NFG,-0.004230377,-0.004230439,-0.05%,E
107,49.630001,50.419998,49.5,49.75,633500,47.446316,2/22/2018,NFG,0.006473752,0.006473801,-0.02%,E
108,50.029999,50.77,49.709999,50.700001,481300,48.352325,2/23/2018,NFG,0.019095455,0.019095497,0.26%,E
109,50.900002,51.310001,50.189999,50.93,507700,48.571678,2/26/2018,NFG,0.004536555,0.004536469,0.52%,U
110,51,51.41,50.470001,50.470001,486800,48.132977,2/27/2018,NFG,-0.009032033,-0.009031985,0.41%,E
111,50.5,50.68,49.41,49.43,683800,47.141136,2/28/2018,NFG,-0.020606268,-0.02060632,-0.13%,E
112,49.549999,50.299999,49.43,49.630001,463500,47.331875,3/1/2018,NFG,0.004046127,0.004046146,-0.43%,E
113,49.48,50.099998,49.02,50.040001,381100,47.722885,3/2/2018,NFG,0.008261029,0.008261132,-0.36%,E
114,49.93,50.560001,49.73,50.509998,503200,48.171124,3/5/2018,NFG,0.009392538,0.009392426,0.02%,E
115,50.48,50.77,49.970001,50.75,610800,48.400017,3/6/2018,NFG,0.004751664,0.004751574,0.53%,U
116,50.599998,50.75,49.860001,50.049999,575200,47.732426,3/7/2018,NFG,-0.013793198,-0.013793123,0.17%,E
117,50.150002,50.299999,48.43,49.099998,626400,46.826416,3/8/2018,NFG,-0.018981017,-0.018981039,-0.38%,E
118,49.330002,49.610001,48.939999,49.5,478200,47.20789,3/9/2018,NFG,0.008146556,0.008146681,-0.40%,E
119,49.5,49.970001,49.41,49.93,395700,47.617981,3/12/2018,NFG,0.008686917,0.008686869,-0.33%,E
120,49.959999,50.57,49.900002,50.360001,379800,48.028072,3/13/2018,NFG,0.008612104,0.008612077,0.12%,E
